comuna,n_emprendedores,nombre_comuna,poblacion_estimada,densidad_x1000_hab
12,26,La América,89000,0.2921
10,11,La Candelaria,69000,0.1594
11,14,Laureles-Estadio,108000,0.1296
8,16,Villa Hermosa,131000,0.1221
5,13,Castilla,136000,0.0956
4,14,Aranjuez,150000,0.0933
7,17,Robledo,194000,0.0876
16,17,Belén,196000,0.0867
3,12,Manrique,151000,0.0795
9,11,Buenos Aires,149000,0.0738
13,6,San Javier,130000,0.0462
15,4,Guayabal,88000,0.0455
1,3,Popular,121000,0.0248
2,2,Santa Cruz,100000,0.02
6,3,Doce de Octubre,182000,0.0165
14,2,El Poblado,129000,0.0155
