barrio_norm,Rango_edad_Menor_de_13_Años,Rango_edad_De_14_a_17_Años,Rango_edad_De_18_a_28_Años,Rango_edad_De_29_a_50_Años,Rango_edad_Mayor_de_50_Años,Dispositivo_conexión_Computadora_personal,Dispositivo_conexión_Smartphone,Dispositivo_conexión_Tablet,Sexo_Femenino,Sexo_Masculino,Género_Otro,total_usuarios,total_dispositivos,pct_Menor_de_13_Aanios,pct_De_14_a_17_Aanios,pct_De_18_a_28_Aanios,pct_De_29_a_50_Aanios,pct_Mayor_de_50_Aanios,pct_Computadora_personal,pct_Smartphone,pct_Tablet,rango_edad_dominante,dispositivo_dominante,ratio_smartphone_pc,perfil_consumidor
altavista,2683,12076,37477,18912,3390,6193,176688,1590,35497,46936,736,74538,184471,3.6,16.2,50.3,25.4,4.5,3.4,95.8,0.9,De 18 a 28 Años,Smartphone,28.53,digital-movil
aranjuez,2399,20862,129133,62805,5889,5829,652971,3146,103871,155517,2961,221088,661946,1.1,9.4,58.4,28.4,2.7,0.9,98.6,0.5,De 18 a 28 Años,Smartphone,112.02,digital-movil
belén,1151,10963,54374,34687,5973,2280,283665,1999,47561,70110,872,107148,287944,1.1,10.2,50.7,32.4,5.6,0.8,98.5,0.7,De 18 a 28 Años,Smartphone,124.41,digital-movil
buenos aires,1290,13044,50761,25530,3444,2197,267289,1498,31732,75839,1934,94069,270984,1.4,13.9,54.0,27.1,3.7,0.8,98.6,0.6,De 18 a 28 Años,Smartphone,121.66,digital-movil
castilla,3163,28971,152437,86830,11024,9399,774983,4423,132824,188652,2900,282425,788805,1.1,10.3,54.0,30.7,3.9,1.2,98.2,0.6,De 18 a 28 Años,Smartphone,82.45,digital-movil
doce de octubre,2303,18937,63241,32894,4579,3739,316040,2106,48573,83550,1079,121954,321885,1.9,15.5,51.9,27.0,3.8,1.2,98.2,0.7,De 18 a 28 Años,Smartphone,84.53,digital-movil
el poblado,349,2848,26885,15855,1727,1487,141237,605,21518,36046,564,47664,143329,0.7,6.0,56.4,33.3,3.6,1.0,98.5,0.4,De 18 a 28 Años,Smartphone,94.98,digital-movil
guayabal,1531,15076,84458,55609,7814,5354,457166,2840,71581,116844,1570,164488,465360,0.9,9.2,51.3,33.8,4.8,1.2,98.2,0.6,De 18 a 28 Años,Smartphone,85.39,digital-movil
la américa,828,5513,29051,23758,2078,5565,152329,878,28616,40946,1266,61228,158772,1.4,9.0,47.4,38.8,3.4,3.5,95.9,0.6,De 18 a 28 Años,Smartphone,27.37,digital-movil
la candelaria,1721,15179,115214,77612,9092,8078,616012,4003,96601,161255,2349,218818,628093,0.8,6.9,52.7,35.5,4.2,1.3,98.1,0.6,De 18 a 28 Años,Smartphone,76.26,digital-movil
laureles estadio,1389,10446,75796,43276,7857,6765,418630,2769,56117,113146,2363,138764,428164,1.0,7.5,54.6,31.2,5.7,1.6,97.8,0.6,De 18 a 28 Años,Smartphone,61.88,digital-movil
manrique,3160,22953,87979,39407,3675,5538,446362,4025,73919,106264,1382,157174,455925,2.0,14.6,56.0,25.1,2.3,1.2,97.9,0.9,De 18 a 28 Años,Smartphone,80.6,digital-movil
popular,2313,18458,55992,21134,2334,5147,279288,2612,43233,69438,949,100231,287047,2.3,18.4,55.9,21.1,2.3,1.8,97.3,0.9,De 18 a 28 Años,Smartphone,54.26,digital-movil
robledo,168,2273,10003,7191,552,423,51127,236,6250,14819,143,20187,51786,0.8,11.3,49.6,35.6,2.7,0.8,98.7,0.5,De 18 a 28 Años,Smartphone,120.87,digital-movil
san antonio de prado,406,4471,11918,11804,2006,1088,68049,345,12728,16674,166,30605,69482,1.3,14.6,38.9,38.6,6.6,1.6,97.9,0.5,De 18 a 28 Años,Smartphone,62.55,digital-movil
san cristóbal,1492,8652,45813,27745,2894,3824,214800,1780,55692,45800,865,86596,220404,1.7,10.0,52.9,32.0,3.3,1.7,97.5,0.8,De 18 a 28 Años,Smartphone,56.17,digital-movil
san javier,2704,23986,91303,47151,6142,6375,437201,3810,88371,97787,1485,171286,447386,1.6,14.0,53.3,27.5,3.6,1.4,97.7,0.9,De 18 a 28 Años,Smartphone,68.58,digital-movil
san sebastián de palmitas,161,1556,3906,4686,599,1569,25173,366,5533,9551,74,10908,27108,1.5,14.3,35.8,43.0,5.5,5.8,92.9,1.4,De 29 a 50 Años,Smartphone,16.04,digital-movil
santa cruz,1791,12113,43631,22373,1953,3282,194872,1435,38273,47863,517,81861,199589,2.2,14.8,53.3,27.3,2.4,1.6,97.6,0.7,De 18 a 28 Años,Smartphone,59.38,digital-movil
santa elena,1713,6672,18250,11314,1610,1899,104535,1450,20972,23730,537,39559,107884,4.3,16.9,46.1,28.6,4.1,1.8,96.9,1.3,De 18 a 28 Años,Smartphone,55.05,digital-movil
villa hermosa,1067,8849,36993,16562,2359,1931,167419,1423,29787,42862,506,65830,170773,1.6,13.4,56.2,25.2,3.6,1.1,98.0,0.8,De 18 a 28 Años,Smartphone,86.7,digital-movil
